report_id,report_text,sif_potential,activity,hazard,barrier_failure,life_saving_rule
504,The shift handover mentioned that a safety officer moved along the edge of the platform with no fall-arrest system in use while inspecting the unit. The observation was attributed to fall protection was not in place.,HIGH,Equipment Inspection,Fall from height,Fall protection absent,Working at Height
505,A permit review found that a storekeeper found the emergency pathway partially blocked during storage activity. The finding cited inadequate housekeeping controls.,MEDIUM,Storage,Poor housekeeping condition,Housekeeping control inadequate,No clear Life-Saving Rule detected
506,a first responder entered the assembly point with no attendant present while managing the incident. This was linked to no emergency rescue plan was in place.,HIGH,Emergency Response,Delayed rescue,Emergency/rescue plan absent,Confined Space
507,An inspection noted that eye wash and PPE were verified before chemical handling while moving the containers.,LOW,Chemical Handling,Chemical exposure,No barrier failure / control effective,Toxic Gas
508,A worker reported that a ground worker struck the buried cable while excavating during excavation. The finding cited a lapse in permit control.,HIGH,Excavation,Utility strike,Permit control failed,Ground Disturbance
509,A near miss occurred when a welder observed residual flammable vapors near the work zone while performing hot work. The finding cited the combustible material control was degraded.,MEDIUM,Hot Work,Fire or explosion,Combustible control degraded,Hot Work
510,The excavation permit and utility survey were reviewed while working in the trench.,LOW,Excavation,Utility strike,No barrier failure / control effective,Ground Disturbance
511,An observation from the safety patrol noted that a crane operator observed the crane load passing directly over personnel while the load was being moved. This was linked to a failure to maintain the exclusion zone.,HIGH,Lifting Operation,Dropped load,Exclusion zone failed,Lifting Operations
512,An inspection noted that a worker noticed that gas testing was performed with a non-calibrated detector while entering the chamber. This was linked to a failure in communication or handover.,MEDIUM,Confined Space Entry,Hazardous atmosphere,Communication/handover failed,Confined Space
513,A permit review found that a safety officer confirmed the ventilation remained operational throughout while checking the ventilation.,LOW,Ventilation,Hazardous atmosphere,No barrier failure / control effective,Confined Space
514,A near miss occurred when a cleaner reported a slippery surface near the aisles during the shift cleanup. It was noted that a previously identified corrective action was not closed out.,MEDIUM,Housekeeping,Slip hazard,Corrective action not completed,
515,A permit review found that a spotter reversed the truck while a worker was in the blind spot during vehicle movement. The event traced back to the stop-work control was not effective.,HIGH,Vehicle Movement,Vehicle-pedestrian collision,Stop-work control failed,Line of Fire
516,An inspection noted that a mechanic confirmed the voltage test was completed before the repair during equipment maintenance.,LOW,Equipment Maintenance,Electric shock or arc flash,No barrier failure / control effective,Energy Isolation
517,An inspection noted that a maintenance technician closed the switch while another worker was inside the danger zone during the repair job.,HIGH,Maintenance,Unexpected startup,Stop-work control failed,Energy Isolation
518,A permit review found that a supervisor observed that the utilities were not marked on the ground during the excavation work. The finding cited the required inspection was not completed.,MEDIUM,Excavation,Utility strike,Inspection not completed,Ground Disturbance
519,a technician confirmed all tools were tethered before while stacking the pallets.,LOW,Material Handling,Falling object,No barrier failure / control effective,
520,a worker observed items overhanging the edge of the overhead shelf while working with the tool kit.,HIGH,Hand Tools,Falling object,Exclusion zone failed,
521,a technician flagged that the machine noise exceeded limits while operating the unit. It was noted that a PPE compliance issue.,MEDIUM,Equipment Operation,Noise exposure,PPE compliance issue,No clear Life-Saving Rule detected
522,PPE was issued and inspected before the task while assessing the release.,LOW,Gas Leak Response,PPE deficiency,No barrier failure / control effective,
523,a technician worked on the elevated platform without any fall protection during elevated maintenance. The observation was attributed to edge protection was missing.,HIGH,Work at Height,Fall from height,Edge protection absent,Working at Height
524,a supervisor noted the barricade around the lift area was incomplete during the field verification. The finding cited the exclusion zone control was degraded.,MEDIUM,Safety Verification,Dropped load,Exclusion zone control degraded,Line of Fire
525,A near miss occurred when an electrician confirmed the voltage test was completed before the repair while working on the panel.,LOW,Electrical Maintenance,Electric shock or arc flash,No barrier failure / control effective,Energy Isolation
526,A worker reported that a technician lifted material without a toe board on the platform while using hand tools.,HIGH,Hand Tools,Falling object,Exclusion zone failed,
527,a permit issuer noted corrosion on the pressurized line during permit issuance. The observation was attributed to the required inspection was not completed.,MEDIUM,Permit to Work,Pressure release,Inspection not completed,Energy Isolation
528,An observation from the safety patrol noted that a worker verified that mechanical handling aids were available while lifting the heavy component.,LOW,Manual Handling,Musculoskeletal Injury,No barrier failure / control effective,
529,a technician observed dust accumulation in the work area while running the equipment. It was noted that inadequate ventilation.,MEDIUM,Equipment Operation,Noise exposure,Ventilation inadequate,No clear Life-Saving Rule detected
530,A worker reported that a lifting supervisor entered the exclusion zone while the load was being lifted while the crane was positioning the load. This was linked to a failure to maintain the exclusion zone.,HIGH,Lifting Operation,Dropped load,Exclusion zone failed,Lifting Operations
531,A supervisor observed that an operator confirmed the voltage test was completed before the repair while servicing the machine.,LOW,Equipment Maintenance,Electric shock or arc flash,No barrier failure / control effective,Energy Isolation
532,"During the walk-down, a rigger entered the exclusion zone while the load was being lifted during the lifting operation. The event traced back to a failure to maintain the exclusion zone.",HIGH,Lifting Operation,Dropped load,Exclusion zone failed,Lifting Operations
533,a worker carried the load alone without assistance during manual handling. The observation was attributed to a previously identified corrective action was not closed out.,MEDIUM,Manual Handling,Musculoskeletal Injury,Corrective action not completed,
534,The equipment was verified as isolated before during the maintenance shutdown.,LOW,Maintenance,Unexpected startup,No barrier failure / control effective,Energy Isolation
535,a technician reached into the cabinet while the busbar remained energized during circuit repair. Follow-up identified a lapse in permit control.,HIGH,Electrical Maintenance,Electric shock or arc flash,Permit control failed,Energy Isolation
536,A worker reported that a welder flagged that the fire extinguisher was not immediately accessible during the grinding operation. It was noted that the combustible material control was degraded.,MEDIUM,Hot Work,Fire or explosion,Combustible control degraded,Hot Work
537,A permit review found that the lifting plan was reviewed and the exclusion zone maintained while the crane was positioning the load.,LOW,Lifting Operation,Dropped load,No barrier failure / control effective,Lifting Operations
538,The shift handover mentioned that a worker entered the space despite the gas monitor alarm remaining active while checking the ventilation. The finding cited inadequate ventilation.,HIGH,Ventilation,Hazardous atmosphere,Ventilation inadequate,Confined Space
539,A worker reported that a safety officer flagged abnormal vibration from the equipment during equipment inspection. It was noted that degraded equipment condition.,MEDIUM,Equipment Inspection,Equipment failure,Equipment condition degraded,
540,A supervisor observed that a supervisor verified that spare PPE was available at the worksite while preparing for the task.,LOW,PPE,PPE deficiency,No barrier failure / control effective,
541,a worker observed an obstruction blocking the aisle in the common work area. The event traced back to a previously identified corrective action was not closed out.,MEDIUM,Housekeeping,Slip hazard,Corrective action not completed,No clear Life-Saving Rule detected
542,a maintenance technician closed the switch while another worker was inside the danger zone during maintenance. It was noted that the energy isolation was not applied.,HIGH,Maintenance,Unexpected startup,Energy isolation failed,Energy Isolation
543,A worker reported that an electrician verified the circuit was dead before starting work while servicing the switchgear.,LOW,Electrical Maintenance,Electric shock or arc flash,No barrier failure / control effective,Energy Isolation
544,a safety officer worked beside an open edge while the guardrail was absent during the scheduled inspection. This was linked to edge protection was missing.,HIGH,Equipment Inspection,Fall from height,Edge protection absent,Working at Height
545,An inspection noted that a scaffolder used the elevated work platform although the fall protection showed signs of damage during elevated maintenance. The finding cited the required inspection was not completed.,MEDIUM,Work at Height,Fall from height,Inspection not completed,Working at Height
546,Eye wash and PPE were verified before chemical handling during the shift.,LOW,Process Operation,Chemical exposure,No barrier failure / control effective,Toxic Gas
547,A permit review found that a worker drove through the pedestrian crossing without stopping while the truck was moving. This was linked to the traffic segregation controls had broken down.,HIGH,Vehicle Movement,Vehicle-pedestrian collision,Traffic segregation failed,Line of Fire
548,An observation from the safety patrol noted that a warehouse worker was not wearing the respirator in the dusty area during chemical handling. Follow-up identified a PPE compliance issue.,MEDIUM,Chemical Handling,PPE deficiency,PPE compliance issue,
549,A worker reported that a spotter confirmed the spotter was in position before reversing during vehicle movement.,LOW,Vehicle Movement,Vehicle-pedestrian collision,No barrier failure / control effective,Line of Fire
550,a storekeeper found the emergency pathway partially blocked during storage activity. The finding cited a previously identified corrective action was not closed out.,MEDIUM,Storage,Poor housekeeping condition,Corrective action not completed,No clear Life-Saving Rule detected
551,An observation from the safety patrol noted that an attendant confirmed the drain was clear in the work area while clearing the workspace.,LOW,Housekeeping,Slip hazard,No barrier failure / control effective,
552,a spotter drove through the pedestrian crossing without stopping while the vehicle was reversing. It was noted that the traffic segregation controls had broken down.,HIGH,Vehicle Movement,Vehicle-pedestrian collision,Traffic segregation failed,Line of Fire
553,A supervisor observed that a worker used the harness without inspecting it during the shift. The event traced back to a PPE compliance issue.,MEDIUM,PPE,PPE deficiency,PPE compliance issue,
554,Housekeeping standards were maintained while stacking the materials.,LOW,Storage,Poor housekeeping condition,No barrier failure / control effective,
555,An observation from the safety patrol noted that a maintenance fitter handled the pump without the required chemical gloves while maintaining the reactor. The event traced back to inadequate ventilation.,HIGH,Chemical Maintenance,Chemical exposure,Ventilation inadequate,Toxic Gas
556,A supervisor observed that a crane operator guided the suspended load by hand from within its path during the lifting operation.,HIGH,Lifting Operation,Dropped load,Exclusion zone failed,Lifting Operations
557,The shift handover mentioned that a process operator found the pressure gauge reading was not recorded while monitoring the process line. Follow-up identified the energy isolation control was degraded.,MEDIUM,Process Operation,Pressure release,Energy isolation control degraded,Energy Isolation
558,The excavation permit and utility survey were reviewed while digging the trench.,LOW,Excavation,Utility strike,No barrier failure / control effective,Ground Disturbance
559,a technician began work in the confined space without atmospheric verification during leak investigation. The finding cited gas testing had not been performed before the task.,HIGH,Gas Leak Response,Hazardous atmosphere,Gas testing absent,Toxic Gas
560,The shift handover mentioned that a worker observed the equipment starting without the safety interlock during the repair job. The observation was attributed to the energy isolation control was degraded.,MEDIUM,Maintenance,Unexpected startup,Energy isolation control degraded,Energy Isolation
561,A near miss occurred when the guarding interlock was verified before the run during the production run.,LOW,Machine Operation,Entanglement,No barrier failure / control effective,Line of Fire
562,"During the walk-down, a ground worker started digging before the underground utilities were located while working in the trench. It was noted that a lapse in permit control.",HIGH,Excavation,Utility strike,Permit control failed,Ground Disturbance
563,A supervisor observed that a technician found the tool handle cracked during the task during the repair. The finding cited the required inspection was not completed.,MEDIUM,Hand Tools,Equipment failure,Inspection not completed,
564,The shift handover mentioned that a welder verified the permit conditions covered the hot work while welding.,LOW,Hot Work,Fire or explosion,No barrier failure / control effective,Hot Work
565,A near miss occurred when a worker noted that the scrap bin was overflowing near the work area during the warehouse operation.,MEDIUM,Storage,Poor housekeeping condition,Corrective action not completed,No clear Life-Saving Rule detected
566,A worker reported that a worker confirmed the work area was clean after the task during the warehouse operation.,LOW,Storage,Poor housekeeping condition,No barrier failure / control effective,
567,A permit review found that a supervisor disconnected the line while pressure remained in it while verifying the authorization. It was noted that a lapse in permit control.,HIGH,Permit to Work,Pressure release,Permit control failed,Energy Isolation
568,a worker observed the crane load passing directly over personnel while the crane was positioning the load. Follow-up identified the pre-lift inspection was skipped.,HIGH,Lifting Operation,Dropped load,Lifting inspection failed,Lifting Operations
569,an electrician flagged that the residual charge was not discharged while servicing the switchgear. Follow-up identified the required inspection was not completed.,MEDIUM,Electrical Maintenance,Electric shock or arc flash,Inspection not completed,Energy Isolation
570,The shift handover mentioned that an auditor completed during safety verification with all controls in place.,LOW,Safety Verification,None identified,No barrier failure / control effective,
571,The excavation permit and utility survey were reviewed during the excavation work.,LOW,Excavation,Utility strike,No barrier failure / control effective,Ground Disturbance
572,an operator climbed the access ladder without attaching the safety harness while accessing the upper platform.,HIGH,Work at Height,Fall from height,Fall protection absent,Working at Height
573,an attendant noticed a tripping hazard from trailing cables during routine housekeeping rounds. The finding cited a previously identified corrective action was not closed out.,MEDIUM,Housekeeping,Slip hazard,Corrective action not completed,
574,An observation from the safety patrol noted that a supervisor confirmed the utilities were marked before digging during worksite setup.,LOW,Worksite Control,Utility strike,No barrier failure / control effective,Ground Disturbance
575,A supervisor observed that an inspector operated the assembly which had no guarding during the check.,HIGH,Equipment Inspection,Equipment failure,Guarding failed,
576,a safety officer noticed that gas testing was performed with a non-calibrated detector while checking the ventilation. The finding cited the gas testing was not completed.,MEDIUM,Ventilation,Hazardous atmosphere,Gas testing not completed,Confined Space
577,An observation from the safety patrol noted that an engineer confirmed that the structure had adequate edge protection while inspecting the equipment.,LOW,Inspection,Fall from height,No barrier failure / control effective,Working at Height
578,"During the walk-down, a mechanic observed exposed conductors while the equipment was live during equipment maintenance. Follow-up identified the energy isolation was not applied.",HIGH,Equipment Maintenance,Electric shock or arc flash,Energy isolation failed,Energy Isolation
579,An observation from the safety patrol noted that a safety officer noted that the retrieval line was not rigged while inspecting the extinguishers. The event traced back to no emergency rescue plan was in place.,MEDIUM,Fire Safety,Delayed rescue,Emergency/rescue plan absent,
580,An observation from the safety patrol noted that the inspection certificate was verified before use during the repair.,LOW,Hand Tools,Equipment failure,No barrier failure / control effective,
581,a driver drove through the pedestrian crossing without stopping during the yard move. This was linked to the stop-work control was not effective.,HIGH,Vehicle Movement,Vehicle-pedestrian collision,Stop-work control failed,Line of Fire
582,a crane operator found that the load weight was not confirmed before the lift while the crane was positioning the load. Follow-up identified the exclusion zone control was degraded.,MEDIUM,Lifting Operation,Dropped load,Exclusion zone control degraded,Lifting Operations
583,A near miss occurred when the toe boards were verified on the platform during the transfer.,LOW,Material Handling,Falling object,No barrier failure / control effective,
584,a worker found water pooling on the walkway during the shift cleanup. It was noted that inadequate housekeeping controls.,MEDIUM,Housekeeping,Slip hazard,Housekeeping control inadequate,
585,a worker left tools unsecured on the containers during the transfer. The observation was attributed to inadequate tool control.,HIGH,Material Handling,Falling object,Tool control inadequate,
586,a worker confirmed all tools were tethered before while moving the materials.,LOW,Material Handling,Falling object,No barrier failure / control effective,
587,The shift handover mentioned that a ground worker started digging before the underground utilities were located during excavation. The finding cited the excavation was not properly supported.,HIGH,Excavation,Utility strike,Excavation support failed,Ground Disturbance
588,The shift handover mentioned that an operator worked near the unit without hearing protection while running the equipment. The finding cited inadequate ventilation.,MEDIUM,Equipment Operation,Noise exposure,Ventilation inadequate,No clear Life-Saving Rule detected
589,The shift handover mentioned that a technician confirmed the voltage test was completed before the repair during circuit repair.,LOW,Electrical Maintenance,Electric shock or arc flash,No barrier failure / control effective,Energy Isolation
590,A supervisor observed that an operator transferred the chemical while the containment bund was damaged during drum handling.,HIGH,Chemical Handling,Chemical exposure,Ventilation inadequate,Toxic Gas
591,an electrical supervisor noted the arc-flash boundary was not marked while working on the panel. The observation was attributed to the energy isolation control was degraded.,MEDIUM,Electrical Maintenance,Electric shock or arc flash,Energy isolation control degraded,Energy Isolation
592,a maintenance technician confirmed the lockout-tagout was complete before restarting during maintenance.,LOW,Maintenance,Unexpected startup,No barrier failure / control effective,Energy Isolation
593,A worker reported that a worker closed the switch while another worker was inside the danger zone during maintenance. The event traced back to the stop-work control was not effective.,HIGH,Maintenance,Unexpected startup,Stop-work control failed,Energy Isolation
594,A supervisor observed that a lifting supervisor noted the barricade around the lift area was incomplete while the load was being moved. The observation was attributed to the exclusion zone control was degraded.,MEDIUM,Lifting Operation,Dropped load,Exclusion zone control degraded,Lifting Operations
595,A supervisor observed that pPE was issued and inspected before the task while assessing the release.,LOW,Gas Leak Response,PPE deficiency,No barrier failure / control effective,
596,A permit review found that a worker guided the suspended load by hand from within its path while the crane was positioning the load. The observation was attributed to the pre-lift inspection was skipped.,HIGH,Lifting Operation,Dropped load,Lifting inspection failed,Lifting Operations
597,a worker flagged abnormal vibration from the equipment during hand-tool work.,MEDIUM,Hand Tools,Equipment failure,Equipment condition degraded,
598,An inspection noted that a welder verified the permit conditions covered the hot work while performing hot work.,LOW,Hot Work,Fire or explosion,No barrier failure / control effective,Hot Work
599,a technician proceeded with hot work although the permit did not match the site conditions while welding. It was noted that no fire watch was present.,HIGH,Hot Work,Fire or explosion,Fire watch absent,Hot Work
600,an excavator operator flagged that the trench had no ladder access while working in the trench. Follow-up identified the required inspection was not completed.,MEDIUM,Excavation,Utility strike,Inspection not completed,Ground Disturbance
601,a responder checked that the gas detector was calibrated before the entry while responding to the gas alarm.,LOW,Gas Leak Response,Hazardous atmosphere,No barrier failure / control effective,Toxic Gas
602,a worker lifted the container using an awkward posture while lifting the heavy component. The finding cited the manual handling control was inadequate.,MEDIUM,Manual Handling,Musculoskeletal Injury,Manual handling control inadequate,
603,A permit review found that a technician climbed the scaffold without attaching the safety harness while working at height. Follow-up identified a failure of safe access controls.,HIGH,Work at Height,Fall from height,Safe access control failed,Working at Height
604,The guarding interlock was verified before the run during the production run.,LOW,Machine Operation,Entanglement,No barrier failure / control effective,Line of Fire
605,an operator reached into the cabinet while the busbar remained energized while servicing the machine. This was linked to the energy isolation was not applied.,HIGH,Equipment Maintenance,Electric shock or arc flash,Energy isolation failed,Energy Isolation
606,A near miss occurred when a technician observed that the initial atmosphere check was recorded late while responding to the gas alarm. The event traced back to a failure in communication or handover.,MEDIUM,Gas Leak Response,Hazardous atmosphere,Communication/handover failed,Toxic Gas
607,A permit review found that a mechanic verified the circuit was dead before starting work while servicing the machine.,LOW,Equipment Maintenance,Electric shock or arc flash,No barrier failure / control effective,Energy Isolation
608,a worker moved the vehicle while the spotter had not cleared the route while the vehicle was reversing. This was linked to the stop-work control was not effective.,HIGH,Vehicle Movement,Vehicle-pedestrian collision,Stop-work control failed,Line of Fire
609,A near miss occurred when an excavator operator observed that the utilities were not marked on the ground during the excavation work. The observation was attributed to the utility verification was not completed.,MEDIUM,Excavation,Utility strike,Utility verification not completed,Ground Disturbance
610,A supervisor observed that a cleaner confirmed the drain was clear in the work area during routine housekeeping rounds.,LOW,Housekeeping,Slip hazard,No barrier failure / control effective,
611,A near miss occurred when a fire warden carried out hot work near the assembly point without an extinguisher close by during fire safety checks. The finding cited a lapse in permit control.,HIGH,Fire Safety,Fire or explosion,Permit control failed,Hot Work
612,"During the walk-down, an electrical supervisor found that the isolation lock was not applied before the task while working on the panel. Follow-up identified the energy isolation control was degraded.",MEDIUM,Electrical Maintenance,Electric shock or arc flash,Energy isolation control degraded,Energy Isolation
613,An observation from the safety patrol noted that a technician checked that the extinguisher charge was valid before while assessing the release.,LOW,Gas Leak Response,Fire or explosion,No barrier failure / control effective,Toxic Gas
614,an engineer observed the safety clutch fail during while inspecting the equipment.,HIGH,Inspection,Equipment failure,Inspection not completed,
615,A supervisor observed that a permit issuer observed a minor steam leak from the connection during permit issuance. The event traced back to the required inspection was not completed.,MEDIUM,Permit to Work,Pressure release,Inspection not completed,Energy Isolation
616,an excavator operator verified the trench support before entry while working in the trench.,LOW,Excavation,Utility strike,No barrier failure / control effective,Ground Disturbance
617,A supervisor observed that a worker observed dust accumulation in the work area during ventilation verification. The finding cited a PPE compliance issue.,MEDIUM,Ventilation,Noise exposure,PPE compliance issue,
618,The shift handover mentioned that the team performed a two-person lift following procedure while lifting the heavy component.,LOW,Manual Handling,Musculoskeletal Injury,No barrier failure / control effective,
619,A near miss occurred when a driver operated the excavator while a worker was inside the swing radius during vehicle movement. This was linked to the stop-work control was not effective.,HIGH,Vehicle Movement,Vehicle-pedestrian collision,Stop-work control failed,Line of Fire
620,a technician handled the heavy object without a mechanical aid while lifting the heavy component. The finding cited the manual handling control was inadequate.,MEDIUM,Manual Handling,Musculoskeletal Injury,Manual handling control inadequate,No clear Life-Saving Rule detected
621,The shift handover mentioned that a worker observed sparks landing on flammable material while performing hot work. The event traced back to a lapse in permit control.,HIGH,Hot Work,Fire or explosion,Permit control failed,Hot Work
622,an attendant removed a minor obstruction from the walkway in the common work area.,LOW,Housekeeping,Slip hazard,No barrier failure / control effective,
623,an operator started elevated work although the platform had no edge protection while accessing the upper platform.,HIGH,Work at Height,Fall from height,Safe access control failed,Working at Height
624,a fire warden found the rescue tripod stored but not assembled during the fire safety walk. The event traced back to no emergency rescue plan was in place.,MEDIUM,Fire Safety,Delayed rescue,Emergency/rescue plan absent,
625,A near miss occurred when a worker verified the atmospheric readings were within safe limits before during confined-space entry.,LOW,Confined Space Entry,Hazardous atmosphere,No barrier failure / control effective,Confined Space
626,A near miss occurred when an auditor noticed the load swinging over the occupied area during safety verification. The finding cited a failure to maintain the exclusion zone.,HIGH,Safety Verification,Dropped load,Exclusion zone failed,Line of Fire
627,An inspection noted that a worker noticed a tripping hazard from trailing cables in the common work area. The event traced back to inadequate housekeeping controls.,MEDIUM,Housekeeping,Slip hazard,Housekeeping control inadequate,
628,The isolation was tested and confirmed before the task while the unit was down.,LOW,Equipment Maintenance,Electric shock or arc flash,No barrier failure / control effective,Energy Isolation
629,A permit review found that a worker confirmed the work was conducted safely while setting up the work area.,LOW,Worksite Control,None identified,No barrier failure / control effective,
630,A near miss occurred when a process operator observed the relief valve fail during the pressure test during the shift. The observation was attributed to a lapse in permit control.,HIGH,Process Operation,Pressure release,Permit control failed,Energy Isolation
631,A supervisor observed that a maintenance technician flagged abnormal vibration from the equipment during the maintenance shutdown. The observation was attributed to degraded equipment condition.,MEDIUM,Equipment Maintenance,Equipment failure,Equipment condition degraded,Energy Isolation
632,A near miss occurred when eye wash and PPE were verified before chemical handling while servicing the chemical line.,LOW,Chemical Maintenance,Chemical exposure,No barrier failure / control effective,Toxic Gas
633,An inspection noted that a worker was inside the space while the retrieval system was not rigged during the fire safety walk. It was noted that no emergency rescue plan was in place.,HIGH,Fire Safety,Delayed rescue,Emergency/rescue plan absent,
634,A permit review found that a technician used the instrument although the fall protection showed signs of damage while inspecting the unit. The finding cited the fall protection control was degraded.,MEDIUM,Equipment Inspection,Fall from height,Fall protection control degraded,Working at Height
635,An inspection noted that a worker confirmed that the access ladder had adequate edge protection while accessing the upper platform.,LOW,Work at Height,Fall from height,No barrier failure / control effective,Working at Height
636,a worker entered the exclusion zone while the load was being lifted while the load was being moved. The finding cited the pre-lift inspection was skipped.,HIGH,Lifting Operation,Dropped load,Lifting inspection failed,Lifting Operations
637,a supervisor flagged that the trench had no ladder access during excavation.,MEDIUM,Excavation,Utility strike,Inspection not completed,Ground Disturbance
638,an electrical supervisor verified the circuit was dead before starting work while servicing the switchgear.,LOW,Electrical Maintenance,Electric shock or arc flash,No barrier failure / control effective,Energy Isolation
639,a welder started hot work while combustible material remained nearby while welding. It was noted that no fire watch was present.,HIGH,Hot Work,Fire or explosion,Fire watch absent,Hot Work
640,An inspection noted that a worker reported that the ventilation in the tank interior was running below capacity during the tank entry. The finding cited a failure in communication or handover.,MEDIUM,Confined Space Entry,Hazardous atmosphere,Communication/handover failed,Confined Space
641,The shift handover mentioned that an operator verified the atmospheric readings were within safe limits before while assessing the release.,LOW,Gas Leak Response,Hazardous atmosphere,No barrier failure / control effective,Toxic Gas
642,a warehouse worker observed the drum leaking while it was being moved while transferring the chemical. This was linked to inadequate ventilation.,HIGH,Chemical Handling,Chemical exposure,Ventilation inadequate,Toxic Gas
643,An inspection noted that a technician carried the load alone without assistance during the material transfer. Follow-up identified the manual handling control was inadequate.,MEDIUM,Manual Handling,Musculoskeletal Injury,Manual handling control inadequate,
644,The guarding interlock was verified before the run while working on the drive.,LOW,Mechanical Maintenance,Entanglement,No barrier failure / control effective,Line of Fire
645,The shift handover mentioned that a mechanic worked close to the moving parts without guarding while working on the drive. This was linked to a failure of the machine guarding.,HIGH,Mechanical Maintenance,Entanglement,Guarding failed,Line of Fire
646,an inspector found the brake on the scaffold worn beyond limit while inspecting the equipment. It was noted that degraded equipment condition.,MEDIUM,Inspection,Equipment failure,Equipment condition degraded,
647,The shift handover mentioned that the inspection certificate was verified before use during the repair.,LOW,Hand Tools,Equipment failure,No barrier failure / control effective,
648,a supervisor observed the excavator bucket contact an unidentified service line during the excavation work. It was noted that a lapse in permit control.,HIGH,Excavation,Utility strike,Permit control failed,Ground Disturbance
649,a supervisor noted that the scrap bin was overflowing near the work area while managing the work zone. This was linked to inadequate housekeeping controls.,MEDIUM,Worksite Control,Poor housekeeping condition,Housekeeping control inadequate,No clear Life-Saving Rule detected
650,"During the walk-down, a chemical handler confirmed the chemical was stored in the correct container while moving the containers.",LOW,Chemical Handling,Chemical exposure,No barrier failure / control effective,Toxic Gas
651,a technician observed sparks landing on flammable material while performing hot work. The event traced back to a lapse in permit control.,HIGH,Hot Work,Fire or explosion,Permit control failed,Hot Work
652,An observation from the safety patrol noted that a crane operator found that the load weight was not confirmed before the lift while the crane was positioning the load. This was linked to the lifting inspection was not completed.,MEDIUM,Lifting Operation,Dropped load,Lifting inspection not completed,Lifting Operations
653,An observation from the safety patrol noted that vehicle and pedestrian routes were segregated during the yard move.,LOW,Vehicle Movement,Vehicle-pedestrian collision,No barrier failure / control effective,Line of Fire
654,a chemical technician worked in the area without respiratory protection during the release during the vessel clean-out. This was linked to a lapse in permit control.,HIGH,Chemical Maintenance,Chemical exposure,Permit control failed,Toxic Gas
655,A near miss occurred when a permit issuer noted corrosion on the pressurized line while reviewing the work permit. The finding cited the required inspection was not completed.,MEDIUM,Permit to Work,Pressure release,Inspection not completed,Energy Isolation
656,a safety officer confirmed the fire watch and extinguishers were in place before during the fire safety walk.,LOW,Fire Safety,Fire or explosion,No barrier failure / control effective,Hot Work
657,An inspection noted that a crane operator used rigging on the load that showed signs of wear before the lift while the load was being moved. Follow-up identified the pre-lift inspection was skipped.,HIGH,Lifting Operation,Dropped load,Lifting inspection failed,Lifting Operations
658,A permit review found that a safety officer noticed the safety glasses were scratched and fogged during the shift.,MEDIUM,PPE,PPE deficiency,Equipment condition degraded,
659,The isolation was tested and confirmed before the task during the maintenance shutdown.,LOW,Equipment Maintenance,Electric shock or arc flash,No barrier failure / control effective,Energy Isolation
660,A supervisor observed that an operator moved along the edge of the platform with no fall-arrest system in use while accessing the upper platform.,HIGH,Work at Height,Fall from height,Safe access control failed,Working at Height
661,a worker noted the barricade around the lift area was incomplete while the load was being moved. Follow-up identified the exclusion zone control was degraded.,MEDIUM,Lifting Operation,Dropped load,Exclusion zone control degraded,Lifting Operations
662,A near miss occurred when a material handler confirmed all tools were tethered before while moving the materials.,LOW,Material Handling,Falling object,No barrier failure / control effective,
663,"During the walk-down, an operator was not wearing the respirator in the dusty area while transferring the chemical. This was linked to degraded equipment condition.",MEDIUM,Chemical Handling,PPE deficiency,Equipment condition degraded,
664,a rigger guided the suspended load by hand from within its path while the load was being moved. The event traced back to the pre-lift inspection was skipped.,HIGH,Lifting Operation,Dropped load,Lifting inspection failed,Lifting Operations
665,a driver verified the reversing alarm was working before the move during the yard move.,LOW,Vehicle Movement,Vehicle-pedestrian collision,No barrier failure / control effective,Line of Fire
666,a technician entered the tank interior with no attendant present while entering the chamber. The finding cited no emergency rescue plan was in place.,HIGH,Confined Space Entry,Delayed rescue,Emergency/rescue plan absent,Confined Space
667,A permit review found that an operator carried the load alone without assistance during the material transfer. The finding cited a previously identified corrective action was not closed out.,MEDIUM,Manual Handling,Musculoskeletal Injury,Corrective action not completed,
668,A worker reported that a worker confirmed the fire watch and extinguishers were in place before while performing hot work.,LOW,Hot Work,Fire or explosion,No barrier failure / control effective,Hot Work
669,A permit review found that a scaffolder started elevated work although the access ladder had no edge protection during the scaffolding work. This was linked to edge protection was missing.,HIGH,Work at Height,Fall from height,Edge protection absent,Working at Height
670,A near miss occurred when a worker flagged that the pedestrian route crossed the vehicle path during the yard move. The finding cited the traffic segregation control was degraded.,MEDIUM,Vehicle Movement,Vehicle-pedestrian collision,Traffic segregation control degraded,Line of Fire
671,"During the walk-down, a confined-space attendant confirmed the ventilation remained operational throughout while entering the vessel.",LOW,Confined Space Entry,Hazardous atmosphere,No barrier failure / control effective,Confined Space
672,a worker started the tank entry with no gas detector available while entering the vessel. The observation was attributed to gas testing had not been performed before the task.,HIGH,Confined Space Entry,Hazardous atmosphere,Gas testing absent,Confined Space
673,A worker reported that a worker worked on the platform where the harness anchor was not certified while working at height. It was noted that the fall protection control was degraded.,MEDIUM,Work at Height,Fall from height,Fall protection control degraded,Working at Height
674,A worker reported that noise levels were checked and controls verified during equipment operation.,LOW,Equipment Operation,Noise exposure,No barrier failure / control effective,
